,gene_name,0528 cell,0528 EV,0618 EV,0622 EV,0618 cell,0622 cell
0,A1BG,283954.50430000003,538519.4181,2179709.6443,4703909.682,279377.8897,414064.4378
1,A2M,18454822.12038,204110791.69856,306430231.73438,677691904.7668,17682808.266106002,21979858.07903
2,AACS,5821415.5242,1455452.19038,1521720.9124,1545091.4139999999,4783447.8546,7211441.5202
3,AAK1,2972165.9178,972005.22593,1088353.98618,855793.87307,4815508.9516,3151427.5131
4,AAMDC,2456580.8830000004,241359.5917,228933.989,300936.74439999997,2384241.1375,3048625.458
5,AARS1,101412168.616537,23187373.734519,32181078.794462,25361302.372518,125458453.53992,118497791.70708999
6,AASDHPPT,5490187.6576,1483191.8375,1868160.4515200001,1485387.55717,8371758.2222,5717141.692
7,ABCA13,7413970.159,3875220.709,6703359.838,3101520.009,9078526.558,9630025.835
8,ABCB7,907321.5427,146037.40915999998,224255.61237000002,220684.56847,1341653.9638999999,1000242.4441
9,ABCC1,34390852.74279,37435605.07205,28488976.82951,41871832.94013,43228470.4685,36879058.11372
10,ABCC11,158708383.35565,27378054.84262,50133427.39045,23327245.912330996,208693881.28937,153306621.7854
11,ABCC3,1680473.065,1759211.32,1488058.229,1966162.883,2356092.196,1879150.456
12,ABCC4,6243974.47911,4618716.43135,4762017.875469999,5923588.95084,10213049.1735,5996050.0322
13,ABCD1,4883964.6809,788914.33336,967857.09222,1196191.1004,7685701.787,4501013.8111
14,ABCD3,8806730.89887,1114281.285037,1700733.6414050001,1222374.771642,11181879.29613,7936903.441430001
15,ABCE1,19123302.1459,7277092.06365,8811332.9333,7239835.501019999,22500710.6063,26997663.78
16,ABCF1,3957775.7572,649069.83705,1004913.9800000001,762205.2789,5089249.232,4044987.8455000003
17,ABCF2,4770168.04885,981713.82196,1134268.79649,1100591.23562,5623327.9495,5710576.93992
18,ABCF3,1888444.3832,295163.1304,341441.5277,348301.1351,2866469.1145,2359447.9488
19,ABCG2,2599779.4927000003,4534063.0737000005,1992851.7880000002,5368523.3796,2383025.2051,2437189.9674
20,ABHD11,2267098.8481,312038.74491999997,540967.379,380395.2882,2344798.6999000004,2373846.7674000002
21,ABHD12,2239591.0465,294845.63943,430346.69572,465490.33158,4367592.6075,1879214.5054
22,ABHD14B,16351574.52548,1898601.27393,2795080.375774,2772598.6803780003,19368801.63381,17827501.82087
23,ABI1,5167445.2913,2400263.6383,2503331.134,2795993.5105,5462265.9213,6651152.700999999
24,ABLIM1,13839094.776999999,2270753.38215,2679239.10782,3050221.14762,10499837.3768,16122685.820099998
25,ABR,7495996.8038,2843593.28363,3427966.69,3664713.1708,7618387.3629,9685241.6701
26,ABRACL,590164.0419,81388.71268,149263.17727,178395.50195,505984.4829,628532.5396
27,ABRAXAS2,2344818.3851,468643.81789,634926.3351,540173.39931,3482385.3611000003,2419814.8555
28,ACAA1,2330909.073,410080.98433999997,742090.4847,628653.1804,3573365.4537,2506275.3986
29,ACAA2,17260165.90289,1193997.857852,1750880.402082,1673137.372358,25313262.7425,16946481.13411
30,ACACA,26570684.8004,8293431.2256000005,10471875.89568,6744502.95646,29897065.0779,28491121.2327
31,ACAD9,11544276.2426,745337.24992,1085319.41273,1158904.00296,15611824.5743,12516404.397
32,ACADM,18275439.9609,1325941.460279,1663776.6251080001,2286581.18405,25333429.151,18656687.64708
33,ACADS,166685.4831,9464.893113,12985.56881,14096.82942,315057.6355,159201.7655
34,ACADSB,7317323.7329,747785.34877,1067585.0332,1202561.7917,11956979.1844,9141761.2917
35,ACADVL,12817666.49239,1603470.560753,2710267.812659,2106494.38118,13515697.85768,17561692.72829
36,ACAP2,1278707.4918,397618.2565,538734.344,340761.68466,1615157.798,1300562.3936
37,ACAT1,103578110.01035,5487925.085234,8411272.491822,8980852.528605001,133689348.79089999,113350513.42462
38,ACAT2,64388254.02017,6659412.5520359995,9696701.534585,11860579.214063,54590451.26077,71237823.12626
39,ACBD3,3323257.8438999997,672314.9813,1151775.2194,997712.8616,4398950.0757,3745080.5794
40,ACBD6,88556.1807,32470.58595,38999.20798,40235.99732,121912.7393,110583.2805
41,ACIN1,15870585.0018,1533184.06035,1917646.0183899999,1866543.3641300001,20433462.033,17938125.9532
42,ACLY,244859816.47888,80267690.314697,81043342.551214,62360305.213764004,192073199.19616,264328742.68248
43,ACO1,38433175.84964,7167849.65917,11047571.24983,8953618.32699,49942658.58075,38790999.71656
44,ACO2,9722967.6524,954023.3284700001,1676256.96346,1515375.40243,13939230.0689,12095107.7063
45,ACOT1,3442901.3402,325628.69805,498943.97316,478493.29839999997,5831127.0781,3452821.4729
46,ACOT13,307792.0013,18822.13182,42806.412,49006.72343,346667.079,331749.693
47,ACOT7,20714213.69147,4351279.898453,5702960.986457,4311002.945185,24279152.73086,20558626.86679
48,ACOT9,7148741.358999999,625703.80997,793353.68942,793415.5993700001,11100145.327,7075478.0543
49,ACOX1,7076237.96255,772556.99878,1400176.30174,984704.98467,10541787.394199999,7789306.68415
50,ACP1,6869701.5153,1186531.48367,1987537.4403,1477814.8816,10194517.7007,7473957.9657000005
51,ACP2,733816.9241,172600.2942,208143.0589,240760.2836,740661.9967,633041.993
52,ACSL1,2384687.7684,377474.7771,597017.8311,454950.4376,3544186.1810999997,2294309.9179
53,ACSL3,17631868.397099998,1967474.1816,2963833.5443900004,2306878.03673,23940343.0054,18854811.8016
54,ACSL4,27716776.92418,13880146.20583,9835484.350019999,17876782.47932,30119695.263949998,30462563.54185
55,ACSS2,10931475.0629,2444012.24616,2526353.8825499997,2698872.10446,6733396.42346,11132886.97364
56,ACTB,2501156774.494915,855378130.505789,869372149.096675,1244462654.182119,3370193784.763989,2998099627.972562
57,ACTL6A,1610101.3018,657474.9078,917268.0224,548047.863,2252679.2815,2278135.1167
